Month,Typhoon 
2000-01,0
2000-02,0
2000-03,0
2000-04,0
2000-05,0
2000-06,0
2000-07,0
2000-08,1
2000-09,0
2000-10,1
2000-11,0
2000-12,0
2001-01,0
2001-02,0
2001-03,0
2001-04,0
2001-05,0
2001-06,1
2001-07,1
2001-08,0
2001-09,1
2001-10,0
2001-11,1
2001-12,0
2002-01,0
2002-02,0
2002-03,0
2002-04,0
2002-05,0
2002-06,0
2002-07,1
2002-08,0
2002-09,0
2002-10,0
2002-11,0
2002-12,0
2003-01,0
2003-02,0
2003-03,0
2003-04,1
2003-05,0
2003-06,1
2003-07,1
2003-08,1
2003-09,1
2003-10,0
2003-11,1
2003-12,0
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,1
2004-06,2
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,1
2004-12,1
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,1
2006-06,0
2006-07,1
2006-08,0
2006-09,1
2006-10,1
2006-11,2
2006-12,1
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,2
2007-09,1
2007-10,0
2007-11,3
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,1
2008-06,1
2008-07,2
2008-08,1
2008-09,2
2008-10,0
2008-11,0
2008-12,0
